Goal,Legs,Chest,Arms,Back,Full Body,Lifts,Reps
0,1,1,0,0,0,Leg Extensions;Dumbbell Flat Press;Hamstring Curls;Lunges;Bench Press;Chest Flies (DB or Cable),13
1,0,0,0,1,1,Sumo Deadlift;Hip Thrust;Dumbbell Row;Russian Twist;Cable Row;Rear Delt Flies,4
0,1,0,1,1,0,Squat;Shoulder Dumbbell Press;T-Bar Row;Tricep Pushdowns;Deadlift;Romanian Deadlift,14
0,1,1,1,0,0,Hip Abductors;Dumbbell Incline Press;Single Arm Tricep Extensions;Leg Press;Dumbbell Curl;Hip Adductors,14
1,0,1,1,1,0,Dumbbell Incline Press;Tricep Extension;Deadlift;T-Bar Row;Lat Pull Downs;Rear Delt Flies,5
1,0,0,1,1,1,Machine Curl;Rear Delt Flies;Push-Ups;Front Raises;Lat Pull Overs;Weighted Dips,5
1,0,1,1,0,1,Cable Chest Press;Overhead Tricep Extensions;Push-Ups;Bench Press;Dumbbell Curl;Plank,4
0,1,1,1,0,0,Hip Abductors;Dumbbell Incline Press;Barbell Curl;Pec Deck;Dumbbell Flat Press;Leg Press,11
0,1,0,0,0,0,Romanian Deadlift;Calf Raise;Low Bar Squat;Lunges;Bulgarian Split Squats;Hamstring Curls,8
0,0,0,0,0,1,Push-Ups;Weighted Dips;Hip Thrust;Standing Overhead Press;Pull-Ups;Russian Twist,14
1,1,0,1,0,0,Hip Abductors;Overhead Tricep Extensions;Shoulder Machine Press;Spider Curl;Shoulder Dumbbell Press;Front Raises,6
0,1,1,1,1,0,Squat;Pec Deck;Lat Raises;Sumo Deadlift;Barbell Row;T-Bar Row,10
1,1,1,1,1,0,Calf Raise;Pec Deck;Overhead Tricep Press;Deadlift;Dumbbell Row;High Bar Squat,5
1,0,0,1,1,0,Spider Curl;Sumo Deadlift;Dumbbell Curl;Lat Pull Downs;Upright Row;Cable Curl,4
1,1,1,1,1,0,Lunges;Dumbbell Incline Press;Skull Crushers;Barbell Row;Spider Curl;Dumbbell Row,4
1,0,1,1,0,0,Pec Deck;Single Arm Tricep Extensions;Skull Crushers;Dumbbell Incline Press;Cable Chest Press;Chest Flies (DB or Cable),5
0,1,0,1,1,0,Romanian Deadlift;Tricep Pushdowns;Lat Pull Downs;Barbell Curl;Rear Delt Flies;Calf Raise,13
0,1,1,0,0,0,Leg Press;Dumbbell Incline Press;Bulgarian Split Squats;Leg Extensions;Squat;Barbell Bench Incline Press,11
0,1,1,1,1,0,Box Squat;Barbell Bench Press;Spider Curl;Deadlift;Pec Deck;Single Arm Tricep Extensions,10
1,0,0,1,1,0,Dumbbell Curl;T-Bar Row;Overhead Tricep Press;Deadlift;Overhead Tricep Extensions;Cable Row,4
1,0,0,1,0,1,Lat Raises;Standing Overhead Press;Push-Ups;Shoulder Dumbbell Press;Spider Curl;Weighted Dips,6
1,1,0,0,1,1,Leg Extensions;Barbell Row;Pull-Ups;Sumo Deadlift;Standing Overhead Press;Russian Twist,4
1,0,0,0,1,1,Lat Pull Downs;Hip Thrust;Plank;Deadlift;Push-Ups;Barbell Row,4
0,0,0,1,0,1,Overhead Tricep Extensions;Standing Overhead Press;Overhead Tricep Press;Spider Curl;Barbell Curl;Tricep Pushdowns,11
0,1,1,0,1,0,Hamstring Curls;Pec Deck;Upright Row;Romanian Deadlift;Bench Press;Barbell Bench Press,10
1,1,1,1,1,0,High Bar Squat;Barbell Bench Press;Barbell Curl;Barbell Row;Cable Chest Press;Lunges,4
0,1,1,0,1,1,Romanian Deadlift;Pec Deck;Dumbbell Row;Weighted Dips;Chest Flies (DB or Cable);Plank,10
0,1,1,1,1,1,Low Bar Squat;Machine Chest Press;Shoulder Machine Press;Lat Pull Overs;Push-Ups;Weighted Dips,11
1,1,0,0,0,1,Leg Press;Push-Ups;Bulgarian Split Squats;Romanian Deadlift;Hip Thrust;Hamstring Curls,4
0,1,1,0,1,1,Hip Adductors;Machine Chest Press;Deadlift;Pull-Ups;High Bar Squat;Pec Deck,11
0,1,1,0,1,0,Lunges;Barbell Bench Incline Press;Cable Row;Pin Press Squat;Deadlift;Cable Chest Press,8
0,1,0,0,1,1,Calf Raise;Sumo Deadlift;Plank;Low Bar Squat;Hip Abductors;Dumbbell Row,14
0,0,0,1,0,0,Cable Curl;Overhead Tricep Extensions;Overhead Tricep Press;Skull Crushers;Single Arm Tricep Extensions;Shoulder Barbell Press,11
1,0,1,1,1,0,Dumbbell Flat Press;Machine Curl;Deadlift;Dumbbell Row;Barbell Curl;Machine Chest Press,4
1,0,0,1,1,1,Single Arm Tricep Extensions;Barbell Row;Push-Ups;Russian Twist;Upright Row;Tricep Extension,6
1,1,0,0,0,0,Hamstring Curls;Leg Extensions;Box Squat;Romanian Deadlift;Leg Press;Squat,4
1,1,0,1,0,0,Romanian Deadlift;Shoulder Machine Press;Bulgarian Split Squats;Pin Press Squat;High Bar Squat;Leg Press,6
1,0,1,1,1,1,Machine Chest Press;Lat Raises;T-Bar Row;Weighted Dips;Skull Crushers;Dumbbell Flat Press,6
0,0,1,1,1,0,Bench Press;Overhead Tricep Press;T-Bar Row;Dumbbell Row;Pec Deck;Machine Chest Press,11
0,0,1,1,1,0,Barbell Bench Incline Press;Single Arm Tricep Extensions;Rear Delt Flies;Barbell Curl;Pec Deck;Dumbbell Incline Press,10
0,0,1,1,0,1,Barbell Bench Incline Press;Lat Raises;Russian Twist;Pec Deck;Hip Thrust;Barbell Bench Press,12
0,1,0,1,0,0,Romanian Deadlift;Skull Crushers;Leg Extensions;Cable Curl;Hip Adductors;Shoulder Dumbbell Press,12
1,0,0,1,0,0,Shoulder Machine Press;Tricep Extension;Machine Curl;Lat Raises;Shoulder Dumbbell Press;Tricep Pushdowns,4
0,1,1,1,0,1,Leg Extensions;Machine Chest Press;Shoulder Machine Press;Plank;Tricep Extension;Hamstring Curls,13
1,1,0,1,1,0,Bulgarian Split Squats;Tricep Pushdowns;Lat Pull Downs;Hip Abductors;Dumbbell Row;Overhead Tricep Press,4
1,0,1,0,0,0,Barbell Bench Incline Press;Pec Deck;Bench Press;Machine Chest Press;Dumbbell Incline Press;Dumbbell Flat Press,4
1,1,1,1,0,0,High Bar Squat;Chest Flies (DB or Cable);Barbell Curl;Lunges;Tricep Extension;Dumbbell Flat Press,5
1,1,0,1,0,0,Pin Press Squat;Cable Curl;Low Bar Squat;Tricep Extension;Romanian Deadlift;Lat Raises,6
0,0,0,1,1,0,Barbell Curl;Cable Row;Deadlift;Overhead Tricep Press;Tricep Pushdowns;Lat Pull Downs,9
1,1,1,1,1,0,Box Squat;Barbell Bench Press;Tricep Extension;Lat Pull Overs;T-Bar Row;Leg Extensions,6
1,0,1,1,1,1,Barbell Bench Incline Press;Overhead Tricep Extensions;Barbell Row;Hip Thrust;Chest Flies (DB or Cable);Plank,4
1,1,1,1,0,1,Low Bar Squat;Chest Flies (DB or Cable);Overhead Tricep Extensions;Weighted Dips;Shoulder Machine Press;Spider Curl,4
1,0,0,1,1,1,Skull Crushers;Rear Delt Flies;Weighted Dips;Pull-Ups;Single Arm Tricep Extensions;Cable Curl,5
1,1,1,0,0,1,Romanian Deadlift;Barbell Bench Incline Press;Pull-Ups;Machine Chest Press;Calf Raise;Plank,6
0,1,1,1,0,0,Box Squat;Pec Deck;Dumbbell Curl;Pin Press Squat;Overhead Tricep Press;Spider Curl,14
1,0,1,1,0,0,Pec Deck;Overhead Tricep Extensions;Spider Curl;Chest Flies (DB or Cable);Tricep Extension;Barbell Curl,5
0,1,0,0,1,0,Lunges;Upright Row;Dumbbell Row;Sumo Deadlift;Romanian Deadlift;Calf Raise,8
0,1,0,1,0,1,Pin Press Squat;Spider Curl;Push-Ups;Squat;Pull-Ups;Romanian Deadlift,11
1,0,0,1,1,1,Overhead Tricep Extensions;Upright Row;Pull-Ups;Shoulder Barbell Press;Shoulder Machine Press;T-Bar Row,5
1,0,1,0,0,0,Barbell Bench Incline Press;Machine Chest Press;Barbell Bench Press;Pec Deck;Chest Flies (DB or Cable);Dumbbell Flat Press,5
1,0,0,1,1,0,Hammer Curl;Lat Pull Downs;Lat Raises;Sumo Deadlift;Upright Row;Barbell Curl,4
1,0,0,1,0,1,Overhead Tricep Press;Push-Ups;Lat Raises;Tricep Extension;Hip Thrust;Russian Twist,5
1,0,1,1,0,1,Dumbbell Incline Press;Hammer Curl;Plank;Weighted Dips;Push-Ups;Skull Crushers,6
0,1,1,0,1,1,Hip Abductors;Dumbbell Incline Press;Deadlift;Pull-Ups;Chest Flies (DB or Cable);Sumo Deadlift,11
1,1,1,1,0,1,High Bar Squat;Pec Deck;Dumbbell Curl;Push-Ups;Standing Overhead Press;Hammer Curl,4
0,0,1,1,0,1,Pec Deck;Shoulder Barbell Press;Pull-Ups;Overhead Tricep Press;Dumbbell Incline Press;Dumbbell Flat Press,8
0,1,0,0,0,1,Romanian Deadlift;Pull-Ups;Leg Press;Squat;Standing Overhead Press;Plank,11
0,0,1,0,1,0,Barbell Bench Incline Press;Lat Pull Downs;Chest Flies (DB or Cable);Lat Pull Overs;Machine Chest Press;Sumo Deadlift,12
1,0,1,0,0,0,Barbell Bench Incline Press;Bench Press;Dumbbell Incline Press;Chest Flies (DB or Cable);Dumbbell Flat Press;Barbell Bench Press,4
0,0,0,1,0,1,Cable Curl;Plank;Push-Ups;Machine Curl;Russian Twist;Weighted Dips,14
0,0,0,0,0,1,Russian Twist;Plank;Weighted Dips;Pull-Ups;Standing Overhead Press;Hip Thrust,12
1,0,0,1,0,0,Cable Curl;Skull Crushers;Overhead Tricep Press;Machine Curl;Shoulder Barbell Press;Tricep Extension,6
0,1,1,1,1,1,Hip Adductors;Dumbbell Incline Press;Machine Curl;Deadlift;Push-Ups;Machine Chest Press,11
0,0,1,0,1,1,Chest Flies (DB or Cable);Cable Row;Pull-Ups;Barbell Bench Incline Press;Dumbbell Row;Hip Thrust,8
0,1,1,1,0,1,Hip Abductors;Dumbbell Incline Press;Shoulder Dumbbell Press;Push-Ups;Romanian Deadlift;Barbell Bench Press,13
0,0,1,0,0,1,Dumbbell Flat Press;Hip Thrust;Pull-Ups;Standing Overhead Press;Russian Twist;Machine Chest Press,9
0,0,1,1,0,0,Barbell Bench Incline Press;Tricep Pushdowns;Single Arm Tricep Extensions;Machine Chest Press;Skull Crushers;Shoulder Machine Press,12
0,0,1,1,1,1,Bench Press;Single Arm Tricep Extensions;Sumo Deadlift;Plank;Dumbbell Flat Press;Standing Overhead Press,8
0,1,1,0,0,0,Lunges;Bench Press;Pec Deck;Low Bar Squat;Pin Press Squat;Hamstring Curls,14
1,0,1,0,0,0,Cable Chest Press;Pec Deck;Bench Press;Barbell Bench Press;Dumbbell Incline Press;Barbell Bench Incline Press,5
1,0,1,0,0,1,Bench Press;Plank;Barbell Bench Press;Pec Deck;Weighted Dips;Chest Flies (DB or Cable),5
1,0,0,1,0,0,Shoulder Barbell Press;Machine Curl;Tricep Extension;Front Raises;Lat Raises;Dumbbell Curl,4
0,0,0,1,1,0,Dumbbell Curl;Barbell Row;Shoulder Machine Press;Rear Delt Flies;Tricep Pushdowns;Dumbbell Row,8
1,0,0,0,1,0,Lat Pull Overs;Sumo Deadlift;Dumbbell Row;Rear Delt Flies;Upright Row;Barbell Row,6
1,0,1,1,0,0,Bench Press;Skull Crushers;Pec Deck;Shoulder Dumbbell Press;Dumbbell Curl;Shoulder Barbell Press,6
1,1,1,1,0,0,Calf Raise;Bench Press;Overhead Tricep Press;Lat Raises;Dumbbell Flat Press;Shoulder Barbell Press,5
0,1,0,0,1,1,Bulgarian Split Squats;Upright Row;Pull-Ups;Hip Thrust;Sumo Deadlift;Standing Overhead Press,11
0,0,1,1,0,1,Bench Press;Barbell Curl;Push-Ups;Pec Deck;Dumbbell Flat Press;Shoulder Machine Press,12
1,1,0,0,0,0,Leg Extensions;Leg Press;Lunges;High Bar Squat;Squat;Box Squat,4
0,1,1,1,0,1,Low Bar Squat;Barbell Bench Incline Press;Shoulder Dumbbell Press;Hip Thrust;Pull-Ups;Hamstring Curls,9
1,0,0,0,1,1,Sumo Deadlift;Russian Twist;Push-Ups;Lat Pull Downs;Barbell Row;Plank,4
1,1,1,0,1,1,High Bar Squat;Bench Press;Rear Delt Flies;Standing Overhead Press;Pin Press Squat;Lat Pull Downs,4
0,1,1,0,1,0,Bulgarian Split Squats;Machine Chest Press;Upright Row;Hip Abductors;Lat Pull Downs;Sumo Deadlift,10
0,1,0,0,1,0,Pin Press Squat;Cable Row;Upright Row;Hip Adductors;Leg Press;Calf Raise,12
1,0,1,0,1,1,Bench Press;Lat Pull Downs;Standing Overhead Press;Barbell Row;Barbell Bench Press;Pull-Ups,5
0,0,0,1,0,1,Shoulder Dumbbell Press;Hip Thrust;Tricep Extension;Lat Raises;Standing Overhead Press;Weighted Dips,10
1,0,1,1,1,0,Bench Press;Shoulder Dumbbell Press;Deadlift;Spider Curl;Rear Delt Flies;Sumo Deadlift,5
0,0,1,0,1,0,Chest Flies (DB or Cable);Cable Row;Barbell Bench Press;Deadlift;Sumo Deadlift;Barbell Bench Incline Press,9
1,1,0,0,1,1,Box Squat;T-Bar Row;Pull-Ups;Plank;Standing Overhead Press;Hamstring Curls,5
1,1,1,0,0,0,Leg Extensions;Dumbbell Flat Press;Barbell Bench Press;Machine Chest Press;Pin Press Squat;Low Bar Squat,6
0,1,1,1,1,0,Leg Extensions;Barbell Bench Incline Press;Single Arm Tricep Extensions;Sumo Deadlift;Spider Curl;High Bar Squat,13
0,0,1,1,1,0,Barbell Bench Press;Tricep Pushdowns;Sumo Deadlift;Rear Delt Flies;T-Bar Row;Barbell Bench Incline Press,11
1,1,1,0,0,0,Calf Raise;Dumbbell Incline Press;Low Bar Squat;Leg Extensions;Dumbbell Flat Press;Box Squat,6
0,0,1,1,0,0,Barbell Bench Incline Press;Hammer Curl;Dumbbell Curl;Front Raises;Tricep Extension;Dumbbell Flat Press,11
0,0,1,1,1,1,Chest Flies (DB or Cable);Cable Curl;Dumbbell Row;Standing Overhead Press;Weighted Dips;Plank,8
0,1,0,1,1,0,Hip Adductors;Front Raises;T-Bar Row;High Bar Squat;Cable Row;Dumbbell Row,12
0,1,1,0,1,1,Box Squat;Dumbbell Flat Press;Deadlift;Pull-Ups;Lunges;Cable Chest Press,12
1,1,1,0,0,1,Hamstring Curls;Dumbbell Flat Press;Pull-Ups;Hip Thrust;Leg Extensions;Hip Adductors,4
1,1,0,0,0,0,High Bar Squat;Bulgarian Split Squats;Hip Abductors;Hip Adductors;Squat;Lunges,4
0,0,0,1,0,0,Shoulder Dumbbell Press;Cable Curl;Barbell Curl;Single Arm Tricep Extensions;Overhead Tricep Press;Shoulder Barbell Press,14
1,0,0,0,1,0,Rear Delt Flies;T-Bar Row;Dumbbell Row;Barbell Row;Lat Pull Downs;Upright Row,4
0,1,0,1,1,0,Hip Abductors;Dumbbell Curl;Sumo Deadlift;Dumbbell Row;Box Squat;Skull Crushers,13
1,0,0,1,0,1,Cable Curl;Plank;Shoulder Barbell Press;Push-Ups;Pull-Ups;Standing Overhead Press,5
1,1,1,0,1,1,Leg Extensions;Dumbbell Flat Press;Deadlift;Push-Ups;Barbell Bench Incline Press;Lat Pull Overs,4
0,1,0,0,0,1,Box Squat;Plank;Weighted Dips;Bulgarian Split Squats;Standing Overhead Press;Calf Raise,12
0,1,0,1,1,1,Lunges;Overhead Tricep Extensions;Lat Pull Overs;Pull-Ups;Hip Thrust;Russian Twist,8
1,1,1,0,0,1,Romanian Deadlift;Cable Chest Press;Hip Thrust;Chest Flies (DB or Cable);Standing Overhead Press;Pec Deck,6
1,1,0,0,0,0,Hip Adductors;Bulgarian Split Squats;Calf Raise;Squat;Hamstring Curls;Box Squat,5
0,1,0,0,0,0,Pin Press Squat;Hamstring Curls;Low Bar Squat;Hip Adductors;Romanian Deadlift;Leg Press,8
1,1,1,0,1,1,Lunges;Machine Chest Press;Lat Pull Overs;Push-Ups;Pec Deck;T-Bar Row,6
1,1,0,0,0,0,Romanian Deadlift;Lunges;High Bar Squat;Hip Adductors;Pin Press Squat;Leg Extensions,4
0,1,1,0,1,1,Low Bar Squat;Chest Flies (DB or Cable);Deadlift;Weighted Dips;Squat;Lat Pull Overs,9
0,1,1,1,1,0,Pin Press Squat;Dumbbell Incline Press;Lat Raises;Rear Delt Flies;Calf Raise;Romanian Deadlift,13
1,0,0,1,1,0,Machine Curl;Barbell Row;Rear Delt Flies;Lat Pull Downs;Skull Crushers;Tricep Extension,6
1,0,1,0,1,1,Machine Chest Press;Lat Pull Overs;Standing Overhead Press;T-Bar Row;Lat Pull Downs;Dumbbell Flat Press,4
1,1,1,0,0,0,Pin Press Squat;Cable Chest Press;Bench Press;Barbell Bench Incline Press;Pec Deck;Dumbbell Flat Press,6
1,1,1,1,0,1,Calf Raise;Barbell Bench Press;Spider Curl;Weighted Dips;Bench Press;Pull-Ups,6
0,1,0,0,1,1,Squat;Deadlift;Russian Twist;Standing Overhead Press;Leg Press;Pull-Ups,14
0,0,1,1,1,1,Chest Flies (DB or Cable);Lat Raises;Cable Row;Push-Ups;Barbell Curl;Machine Curl,12
0,1,1,0,1,0,Box Squat;Chest Flies (DB or Cable);T-Bar Row;Leg Press;Bench Press;Hip Adductors,14
0,0,1,1,1,1,Bench Press;Lat Raises;Upright Row;Push-Ups;Cable Chest Press;Hammer Curl,13
0,1,0,1,1,1,Leg Extensions;Shoulder Dumbbell Press;Lat Pull Overs;Standing Overhead Press;Calf Raise;Cable Curl,12
0,1,0,0,1,1,Squat;Dumbbell Row;Hip Thrust;Sumo Deadlift;Hamstring Curls;Box Squat,13
1,0,1,1,0,0,Barbell Bench Incline Press;Tricep Extension;Cable Chest Press;Overhead Tricep Press;Lat Raises;Spider Curl,4
1,1,1,1,1,1,Squat;Dumbbell Flat Press;Barbell Curl;Rear Delt Flies;Pull-Ups;Dumbbell Incline Press,5
1,1,1,1,0,0,Low Bar Squat;Dumbbell Flat Press;Lat Raises;Box Squat;Pin Press Squat;Hip Abductors,5
1,1,1,1,1,1,Hamstring Curls;Bench Press;Tricep Extension;Upright Row;Push-Ups;Box Squat,4
0,1,0,0,1,0,Leg Press;Upright Row;Pin Press Squat;Sumo Deadlift;T-Bar Row;Lunges,9
1,1,1,1,0,1,High Bar Squat;Chest Flies (DB or Cable);Lat Raises;Russian Twist;Dumbbell Flat Press;Pin Press Squat,4
1,0,1,0,1,1,Pec Deck;Deadlift;Push-Ups;Rear Delt Flies;Barbell Bench Incline Press;Barbell Bench Press,4
1,1,0,0,0,1,High Bar Squat;Pull-Ups;Push-Ups;Lunges;Russian Twist;Box Squat,4
0,0,1,1,0,0,Barbell Bench Incline Press;Shoulder Machine Press;Machine Chest Press;Shoulder Barbell Press;Chest Flies (DB or Cable);Shoulder Dumbbell Press,12
0,0,0,0,1,1,Deadlift;Plank;Hip Thrust;Push-Ups;Pull-Ups;Cable Row,12
1,1,1,0,1,0,Leg Extensions;Machine Chest Press;Cable Row;Barbell Row;Low Bar Squat;Cable Chest Press,5
1,1,1,0,1,1,Squat;Barbell Bench Incline Press;Lat Pull Downs;Pull-Ups;Weighted Dips;Hip Abductors,6
1,1,1,1,1,1,Hamstring Curls;Cable Chest Press;Spider Curl;Sumo Deadlift;Russian Twist;Machine Curl,4
1,0,1,0,0,1,Dumbbell Incline Press;Push-Ups;Weighted Dips;Dumbbell Flat Press;Plank;Hip Thrust,6
0,1,0,1,0,0,Low Bar Squat;Shoulder Barbell Press;Lat Raises;Tricep Extension;Box Squat;Tricep Pushdowns,11
0,1,1,1,0,1,Hamstring Curls;Barbell Bench Press;Shoulder Dumbbell Press;Pull-Ups;Hammer Curl;Lunges,11
1,0,1,1,0,1,Bench Press;Shoulder Dumbbell Press;Weighted Dips;Hammer Curl;Lat Raises;Barbell Bench Press,4
1,0,0,1,0,1,Spider Curl;Standing Overhead Press;Hip Thrust;Front Raises;Pull-Ups;Weighted Dips,4
1,1,0,0,0,0,Leg Extensions;Leg Press;Romanian Deadlift;Low Bar Squat;Pin Press Squat;Lunges,5
0,1,1,1,1,0,Lunges;Cable Chest Press;Skull Crushers;Barbell Row;Calf Raise;Front Raises,14
0,1,1,0,0,0,Lunges;Machine Chest Press;Barbell Bench Incline Press;Box Squat;Cable Chest Press;Barbell Bench Press,14
0,0,1,0,1,0,Dumbbell Flat Press;T-Bar Row;Chest Flies (DB or Cable);Deadlift;Dumbbell Row;Dumbbell Incline Press,8
1,1,0,0,0,0,Low Bar Squat;Squat;Pin Press Squat;Leg Extensions;Hamstring Curls;Lunges,4
0,1,0,1,1,1,Hamstring Curls;Shoulder Dumbbell Press;Upright Row;Russian Twist;Romanian Deadlift;T-Bar Row,9
0,0,1,0,1,1,Cable Chest Press;Rear Delt Flies;Hip Thrust;Bench Press;Plank;Dumbbell Flat Press,14
0,0,1,0,1,0,Bench Press;T-Bar Row;Dumbbell Incline Press;Barbell Bench Incline Press;Sumo Deadlift;Chest Flies (DB or Cable),9
0,0,1,1,0,0,Barbell Bench Incline Press;Dumbbell Curl;Dumbbell Flat Press;Hammer Curl;Machine Chest Press;Dumbbell Incline Press,9
1,0,1,0,0,1,Barbell Bench Incline Press;Plank;Dumbbell Flat Press;Cable Chest Press;Pull-Ups;Push-Ups,4
1,1,0,0,1,0,Hamstring Curls;Lat Pull Overs;Barbell Row;T-Bar Row;Cable Row;Deadlift,4
1,1,0,0,1,1,Low Bar Squat;Barbell Row;Push-Ups;Leg Press;Hip Adductors;Leg Extensions,5
0,1,0,0,0,0,Hip Adductors;Hip Abductors;Romanian Deadlift;High Bar Squat;Leg Press;Leg Extensions,13
0,0,1,1,1,0,Chest Flies (DB or Cable);Overhead Tricep Extensions;T-Bar Row;Upright Row;Cable Row;Barbell Bench Press,11
0,0,0,0,0,1,Russian Twist;Hip Thrust;Weighted Dips;Pull-Ups;Push-Ups;Standing Overhead Press,12
0,1,0,1,1,0,Squat;Single Arm Tricep Extensions;Cable Row;Shoulder Dumbbell Press;Box Squat;Barbell Row,8
1,1,0,1,1,1,Pin Press Squat;Shoulder Machine Press;T-Bar Row;Standing Overhead Press;Shoulder Dumbbell Press;Cable Row,4
